iso_693_3,language_name,asr,tts,lid
bbc,Batak Toba,✔️,✔️,✔️
bbf,Baibai,,,✔️
bbj,Ghomálá’,,,✔️
bbk,Babanki,,,✔️
bbo,Konabéré,✔️,✔️,✔️
bbp,"Banda, West Central",,,✔️
bbq,Bamali,,,✔️
bbr,Girawa,,,✔️
bbt,Mburku,,,✔️
bbu,Kulung,,,✔️
bbv,Karnai,,,✔️
bbw,Supapya,,,✔️
bby,Befang,,,✔️
bca,"Bai, Central",,,✔️
bcc,"Balochi, Southern","✔️ (script: arabic, script: latin)","✔️ (script: arabic, script: latin)",✔️
bcf,Bamu,,,✔️
bcg,Baga Pokur,,,✔️
bci,Baoulé,,,✔️
bcj,Bardi,,,✔️
bcl,"Bikol, Central",✔️,✔️,✔️
bcn,Bali,,,✔️
bco,Kaluli,,,✔️
bcp,Bali,,,✔️
bcq,Bench,,,✔️
bcs,Hohumono,,,✔️
bcv,Shoo-Minda-Nye,,,✔️
bcw,Bana,✔️,✔️,✔️
bcy,Bacama,,,✔️
bcz,Bainouk-Gunyaamolo,,,✔️
bda,Bayot,,,✔️
bdb,Basap,,,✔️
bdd,Bunama,,,✔️
bde,Bade,,,✔️
bdg,Bonggi,✔️,✔️,✔️
bdh,Baka,✔️,✔️,✔️
bdi,Burun,,,✔️
bdl,"Bajau, Indonesian",,,✔️
bdm,Buduma,,,✔️
bdq,Bahnar,✔️,✔️,✔️
bdu,Oroko,✔️,✔️,✔️
bdv,Bodo Parja,✔️,✔️,✔️
bdw,Baham,,,✔️
bea,Beaver,,,✔️
bec,Iceve-Maci,,,✔️
bee,Byangsi,,,✔️
bef,Benabena,,,✔️
beh,Biali,✔️,✔️,✔️
bei,Bakati’,,,✔️
bej,Bedawiyet,,,✔️
bek,Bebeli,,,✔️
bel,Belarusian,✔️,,✔️
bem,Bemba,✔️,✔️,✔️
ben,Bengali,✔️,✔️,✔️
beo,Bedamuni,,,✔️
bep,Behoa,✔️,✔️,✔️
beq,Beembe,,,✔️
bet,"Bété, Guiberoua",,,✔️
beu,Blagar,,,✔️
bev,"Bété, Daloa",,,✔️
bew,Betawi,,,✔️
bex,Jur Modo,✔️,✔️,✔️
bey,Beli,,,✔️
bez,Bena,,,✔️
bfa,Bari,✔️,✔️,✔️
bfb,"Bareli, Pauri",,,✔️
bfd,Bafut,,,✔️
bfe,Betaf,,,✔️
bfg,"Kayan, Busang",,,✔️
bfh,Blafe,,,✔️
bfj,Bafanji,,,✔️
bfm,Mmen,,,✔️
bfo,"Birifor, Malba",✔️,✔️,✔️
bfq,Badaga,,,✔️
bfr,Bazigar,,,✔️
bfs,"Bai, Southern",,,✔️
bft,Balti,,,✔️
bfu,Gahri,,,✔️
bfw,Bondo,,,✔️
bfy,Bagheli,✔️,✔️,✔️
bfz,"Pahari, Mahasu",✔️,✔️,✔️
bga,Gwamhi-Wuri,,,✔️
bgc,Haryanvi,✔️,✔️,✔️
bgd,"Bareli, Rathwi",,,✔️
bge,Bauria,,,✔️
bgf,Bangandu,,,✔️
bgg,Bugun,,,✔️
bgi,Bagobo-Klata,,,✔️
bgn,"Balochi, Western",,,✔️
bgp,"Balochi, Eastern",,,✔️
bgq,Bagri,✔️,✔️,✔️
bgr,"Chin, Bawm",✔️,✔️,✔️
bgs,Tagabawa,,,✔️
bgt,Bughotu,✔️,✔️,✔️
bgv,Warkay-Bipim,,,✔️
bgw,Bhatri,✔️,✔️,✔️
bgx,Balkan Gagauz Turkish,,,✔️
bgz,Banggai,,,✔️
bha,Bharia,✔️,✔️,✔️
bhb,Bhili,,,✔️
bhd,Bhadrawahi,,,✔️
bhf,Odiai,,,✔️
bhg,Binandere,,,✔️
bhh,Bukharic,,,✔️
bhi,Bhilali,,,✔️
bhj,Bahing,,,✔️
bhl,Bimin,,,✔️
bho,Bhojpuri,,,✔️
bhp,Bima,,,✔️
bhq,Tukang Besi South,,,✔️
bhs,Buwal,,,✔️
bht,Bhattiyali,✔️,✔️,✔️
bhu,Bhunjia,,,✔️
bhw,Biak,,,✔️
bhx,Bhalay,,,✔️
bhy,Bhele,,,✔️
bhz,Bada,✔️,✔️,✔️
bib,Bisa,✔️,✔️,✔️
bid,Bidiyo,,,✔️
bif,Biafada,,,✔️
big,Biangai,,,✔️
bil,Bille,,,✔️
bim,Bimoba,✔️,✔️,✔️
bin,Edo,,,✔️
bio,Nai,,,✔️
bip,Bila,,,✔️
bis,Bislama,✔️,✔️,✔️
bit,Berinomo,,,✔️
biu,Biate,,,✔️
biv,"Birifor, Southern",✔️,✔️,✔️
bix,Bijori,,,✔️
biy,Birhor,,,✔️
biz,Baloi,,,✔️
bja,Budza,,,✔️
bjc,Bariji,,,✔️
bje,Biao-Jiao Mien,,,✔️
bjg,Bidyogo,,,✔️
bjh,Bahinemo,,,✔️
bji,Burji,,,✔️
bjj,Kanauji,,,✔️
bjk,Barok,,,✔️
bjn,Banjar,,,✔️
bjo,"Banda, Mid-Southern",,,✔️
bjp,Fanamaket,,,✔️
bjr,Binumarien,✔️,✔️,✔️
bjt,Balanta-Ganja,,,✔️
bjv,Bedjond,✔️,✔️,✔️
bjw,Bakwé,✔️,✔️,✔️
bjx,"Kalinga, Vanaw",,,✔️
bjz,Baruga,✔️,✔️,✔️
bkc,Baka,,,✔️
bkd,Binukid,✔️,✔️,✔️
bkg,Buraka,,,✔️
bkk,Brokskat,,,✔️
bkl,Berik,,,✔️
bkm,Kom,,,✔️
bkq,Bakairí,,,✔️
bkr,Bakumpai,,,✔️
bks,"Sorsoganon, Northern",,,✔️
bku,Buhid,,,✔️
bkv,Bekwarra,✔️,✔️,✔️
bkw,Bekwel,,,✔️
bkx,Baikeno,,,✔️
bky,Bokyi,,,✔️
bla,Blackfoot,,,✔️
blb,Bilua,,,✔️
blc,Bella Coola,,,✔️
ble,Balanta-Kentohe,,,✔️
blf,Buol,,,✔️
blh,Kuwaa,✔️,✔️,✔️
bli,Bolia,,,✔️
blk,Pa’o,,,✔️
blm,Beli,,,✔️
blo,Anii,,,✔️
blq,Paluai,,,✔️
blr,Blang,,,✔️
blt,Tai Dam,✔️,✔️,✔️
blw,Balangao,,,✔️
blx,"Ayta, Mag-Indi",✔️,✔️,✔️
bly,Notre,,,✔️
blz,Balantak,✔️,✔️,✔️
bma,Lame,,,✔️
bmb,Bembe,,,✔️
bmd,Baga Manduri,,,✔️
bmf,Bom-Kim,,,✔️
bmi,Bagirmi,,,✔️
bmj,Bote,,,✔️
bmk,Ghayavi,,,✔️
bmq,Bomu,✔️,✔️,✔️
bmr,Muinane,✔️,✔️,✔️
bmu,Somba-Siawari,✔️,✔️,✔️
bmv,Bum,✔️,✔️,✔️
bng,Benga,✔️,✔️,✔️
bni,Bangi,,,✔️
bnj,Bangon,,,✔️
bnn,Bunun,,,✔️
bno,Bantoanon,✔️,✔️,✔️
bnp,Bola,✔️,✔️,✔️
bns,Bundeli,,,✔️
bnv,Beneraf,,,✔️
bnx,Bangubangu,,,✔️
boa,Bora,✔️,✔️,✔️
bob,Aweer,,,✔️
bod,"Tibetan, Central",✔️,✔️,✔️
bof,Bolon,,,✔️
boh,Boma,,,✔️
boj,Anjam,✔️,✔️,✔️
bol,Bole,,,✔️
bom,Berom,✔️,✔️,✔️
bon,Bine,,,✔️
boo,"Bozo, Tiemacèwè",,,✔️
boq,Bogaya,,,✔️
bor,Borôro,✔️,✔️,✔️
bos,Bosnian,✔️,,✔️
bou,Bondei,,,✔️
bov,Tuwuli,✔️,✔️,✔️
box,Buamu,✔️,✔️,✔️
bpe,Bauni,,,✔️
bpn,Dzao Min,,,✔️
bpp,Kaure,,,✔️
bpr,"Blaan, Koronadal",✔️,✔️,✔️
bps,"Blaan, Sarangani",✔️,✔️,✔️
bpu,Bongu,,,✔️
bpv,"Marind, Bian",,,✔️
bpw,Bo,,,✔️
bpx,"Bareli, Palya",,,✔️
bpy,Bishnupuriya,,,✔️
bpz,Bilba,,,✔️
bqa,Tchumbuli,,,✔️
bqc,Boko,✔️,✔️,✔️
bqg,Bago-Kusuntu,,,✔️
bqh,Baima,,,✔️
bqi,Bakhtiâri,✔️,✔️,✔️
bqj,Bandial,✔️,✔️,✔️
bqo,Balo,,,✔️
bqp,Bisã,✔️,✔️,✔️
bqr,Burusu,,,✔️
bqs,Bosmun,,,✔️
bqt,Bamukumbit,,,✔️
bqv,Koro Wachi,,,✔️
bqx,Baangi,,,✔️
bra,Braj Bhasha,,,✔️
brb,Brao,,,✔️
brd,Baram,,,✔️
bre,Breton,✔️,,✔️
brf,Bira,,,✔️
brg,Baure,,,✔️
brh,Brahui,,,✔️
bri,Mokpwe,,,✔️
brl,Birwa,,,✔️
brp,Barapasi,,,✔️
brq,Breri,,,✔️
brr,Birao,,,✔️
brt,Bitare,,,✔️
bru,"Bru, Eastern",✔️,✔️,✔️
brv,"Bru, Western",,,✔️
brx,Boro,,,✔️
bsc,Oniyan,✔️,✔️,✔️
bse,Wushi,,,✔️
bsf,Bauchi,,,✔️
bsh,Kati,,,✔️
bsn,Barasana-Eduria,,,✔️
bsp,Baga Sitemu,,,✔️
bsq,Bassa,✔️,✔️,✔️
bss,Akoose,✔️,✔️,✔️
bst,Basketo,,,✔️
bsy,"Bisaya, Sabah",,,✔️
bta,Bata,,,✔️
btd,Batak Dairi,✔️,✔️,✔️
bte,Gamo-Ningi,,,✔️
btg,"Bété, Gagnoa",,,✔️
btm,Batak Mandailing,,,✔️
bto,"Bikol, Rinconada",,,✔️
bts,Batak Simalungun,✔️,✔️,✔️
btt,Bete-Bendi,✔️,✔️,✔️
btu,Batu,,,✔️
btx,Batak Karo,✔️,✔️,✔️
bub,Bua,,,✔️
bud,Ntcham,✔️,✔️,✔️
buf,Bushoong,,,✔️
bug,Bugis,,,✔️
buh,"Bunu, Younuo",,,✔️
bui,Bongili,,,✔️
buj,Basa-Gurmana,,,✔️
buk,Bugawac,,,✔️
bul,Bulgarian,✔️,✔️,✔️
bum,Bulu,,,✔️
bun,Sherbro,,,✔️
buo,Terei,,,✔️
bus,Bokobaru,✔️,✔️,✔️
buu,Budu,,,✔️
buw,Bubi,,,✔️
bux,Boghom,,,✔️
buz,Bukwen,,,✔️
bva,Barein,,,✔️
bvc,Baelelea,✔️,✔️,✔️
bvd,Baeggu,,,✔️
bvh,Bure,,,✔️
bvi,Belanda Viri,,,✔️
bvm,Bamunka,,,✔️
bvr,Burarra,,,✔️
bvu,"Malay, Bukit",,,✔️
bvw,Boga,,,✔️
bvz,Bauzi,✔️,✔️,✔️
bwd,Bwaidoka,,,✔️
bwe,"Karen, Bwe",,,✔️
bwf,Boselewa,,,✔️
bwi,Baniwa,,,✔️
bwm,Biwat,,,✔️
bwo,Borna,,,✔️
bwq,"Bobo Madaré, Southern",✔️,✔️,✔️
bwr,Bura-Pabir,,,✔️
bws,Bomboma,,,✔️
bwt,Bafaw-Balong,,,✔️
bwu,Buli,✔️,✔️,✔️
bww,Bwa,,,✔️
bwx,"Bunu, Bu-Nao",,,✔️
bxa,Bauro,,,✔️
bxb,Belanda Bor,,,✔️
bxg,Bangala,,,✔️
bxh,Buhutu,,,✔️
bxk,Bukusu,,,✔️
bxl,Jalkunan,,,✔️
bxq,Beele,,,✔️
bxr,"Buriat, Russia",,,✔️
bxs,Busam,,,✔️
bya,Batak,,,✔️
byc,Ubaghara,,,✔️
byd,Benyadu’,,,✔️
bye,Pouye,,,✔️
byj,Bina,,,✔️
byn,Bilen,,,✔️
byo,Biyo,,,✔️
byp,Bumaji,,,✔️
byr,Yipma,✔️,✔️,✔️
bys,Burak,,,✔️
byv,Medumba,,,✔️
byx,Qaqet,,,✔️
byz,Waran,,,✔️
bza,Bandi,,,✔️
bzd,Bribri,,,✔️
bze,"Bozo, Jenaama",,,✔️
bzf,Boikin,,,✔️
bzh,"Buang, Mapos",✔️,✔️,✔️
bzi,Bisu,✔️,✔️,✔️
bzj,Belize English Creole,✔️,✔️,✔️
bzu,Burmeso,,,✔️
bzw,Basa,,,✔️
bzx,"Bozo, Kelengaxo",,,✔️
bzy,Abanglekuo,,,✔️
bzz,Evant,,,✔️
caa,Ch’orti’,✔️,✔️,✔️
cab,Garifuna,✔️,✔️,✔️
cac,Chuj,"✔️ (dialect: sanmateoixtatan, dialect: sansebastiancoatan)","✔️ (dialect: sanmateoixtatan, dialect: sansebastiancoatan)",✔️
cae,Laalaa,,,✔️
caf,"Carrier, Southern",,,✔️
cag,Nivaclé,,,✔️
cak,Kaqchikel,"✔️ (dialect: central, dialect: santamariadejesus, dialect: santodomingoxenacoj, dialect: southcentral, dialect: western, dialect: yepocapa)","✔️ (dialect: central, dialect: santamariadejesus, dialect: santodomingoxenacoj, dialect: southcentral, dialect: western, dialect: yepocapa)",✔️
can,Chambri,,,✔️
cao,Chácobo,,,✔️
cap,Chipaya,✔️,✔️,✔️
caq,"Nicobarese, Car",,,✔️
car,Carib,✔️,✔️,✔️
cas,Tsimané,✔️,✔️,✔️
cat,Catalan,✔️,✔️,✔️
cav,Cavineña,,,✔️
cax,Chiquitano,✔️,✔️,✔️
caz,Canichana,,,✔️
cbc,Carapana,✔️,✔️,✔️
cbd,Carijona,,,✔️
cbg,Chimila,,,✔️
cbi,Chachi,✔️,✔️,✔️
cbj,Ede Cabe,,,✔️
cbk,Chavacano,,,✔️
cbn,Nyahkur,,,✔️
cbo,Izora,,,✔️
cbr,Kakataibo-Kashibo,✔️,✔️,✔️
cbs,Kashinawa,✔️,✔️,✔️
cbt,Shawi,✔️,✔️,✔️
cbu,Kandozi-Chapra,✔️,✔️,✔️
cbv,Cacua,✔️,✔️,✔️
cce,Chopi,✔️,✔️,✔️
ccg,Samba Daka,,,✔️
cch,Atsam,,,✔️
ccj,Kasanga,,,✔️
ccl,Cutchi-Swahili,,,✔️
cco,"Chinantec, Comaltepec",✔️,✔️,✔️
ccp,Chakma,,,✔️
cde,Chenchu,,,✔️
cdf,Chiru,,,✔️
cdh,Chambeali,,,✔️
cdi,Chodri,,,✔️
cdj,Churahi,✔️,✔️,✔️
cdm,Chepang,,,✔️
cdn,Chaudangsi,,,✔️
cdo,"Chinese, Min Dong",,,✔️
cdr,Kamuku,,,✔️
ceb,Cebuano,✔️,✔️,✔️
ceg,Chamacoco,✔️,✔️,✔️
cek,"Chin, Eastern Khumi",✔️,✔️,✔️
ces,Czech,✔️,,✔️
cfa,Dikaka,,,✔️
cfd,Cara,,,✔️
cfg,Karimjo,,,✔️
cfm,"Chin, Falam",✔️,✔️,✔️
cgc,Kagayanen,✔️,✔️,✔️
cgg,Chiga,,,✔️
cgk,Chocangacakha,,,✔️
chd,"Chontal, Highland Oaxaca",,,✔️
che,Chechen,✔️,✔️,✔️
chf,"Chontal, Tabasco",✔️,✔️,✔️
chj,"Chinantec, Ojitlán",,,✔️
chk,Chuukese,,,✔️
cho,Choctaw,,,✔️
chp,Dene,,,✔️
chq,"Chinantec, Quiotepec",,,✔️
chr,Cherokee,,,✔️
chv,Chuvash,✔️,✔️,✔️
chw,Chuwabu,,,✔️
chx,Chantyal,,,✔️
chy,Cheyenne,,,✔️
chz,"Chinantec, Ozumacín",✔️,✔️,✔️
cib,"Gbe, Ci",,,✔️
cih,Chinali,,,✔️
cik,"Kinnauri, Chitkuli",,,✔️
cin,Cinta Larga,,,✔️
ciw,Chippewa,,,✔️
cja,"Cham, Western",,,✔️
cje,Chru,,,✔️
cjk,Chokwe,,,✔️
cjm,"Cham, Eastern",,,✔️
cjo,"Ashéninka, Pajonal",✔️,✔️,✔️
cjp,Cabécar,✔️,✔️,✔️
cjs,Shor,✔️,✔️,✔️
cjv,Chuave,,,✔️
ckb,"Kurdish, Central",✔️,,✔️
ckh,Chak,,,✔️
ckl,Kibaku,,,✔️
cko,Anufo,✔️,✔️,✔️
ckt,Chukchi,✔️,✔️,✔️
cku,Koasati,,,✔️
ckx,Caka,,,✔️
cky,Cakfem-Mushere,,,✔️
cla,Ron,✔️,✔️,✔️
clc,Chilcotin,,,✔️
cld,Chaldean Neo-Aramaic,,,✔️
cle,"Chinantec, Lealao",✔️,✔️,✔️
cli,Chakali,,,✔️
clj,"Chin, Laitu",,,✔️
clk,Idu-Mishmi,,,✔️
cll,Chala,,,✔️
clo,"Chontal, Lowland Oaxaca",,,✔️
clt,"Chin, Lautu",,,✔️
clu,Caluyanun,,,✔️
cly,"Chatino, Eastern Highland",✔️,✔️,✔️
cma,Maa,,,✔️
cme,Cerma,✔️,✔️,✔️
cmn,"Chinese, Mandarin",✔️ (script: simplified),,✔️
cmo,"Mnong, Central","✔️ (script: khmer, script: latin)","✔️ (script: khmer, script: latin)",✔️
cmr,Mro-Khimi,✔️,✔️,✔️
cna,Changthang,,,✔️
cnb,"Chin, Uppu",,,✔️
cnc,Côông,,,✔️
cnh,"Chin, Hakha",✔️,✔️,✔️
cni,Asháninka,✔️,✔️,✔️
cnk,"Chin, Khumi",,,✔️
cnl,"Chinantec, Lalana",✔️,✔️,✔️
cnq,Chung,,,✔️
cns,"Asmat, Central",,,✔️
cnt,"Chinantec, Tepetotutla",✔️,✔️,✔️
cnw,"Chin, Ngawn",,,✔️
cob,Chicomuceltec,,,✔️
coc,Cocopa,,,✔️
cod,Kukama-Kukamiria,,,✔️
coe,Koreguaje,✔️,✔️,✔️
cof,Tsafiki,✔️,✔️,✔️
cog,Chong,,,✔️
coh,Chichonyi-Chidzihana-Chikauma,,,✔️
coj,Cochimi,,,✔️
cok,"Cora, Santa Teresa",✔️,✔️,✔️
com,Comanche,,,✔️
con,Cofán,✔️,✔️,✔️
cos,Corsican,,,✔️
cot,Caquinte,✔️,✔️,✔️
cou,Wamey,✔️,✔️,✔️
cov,Cao Miao,,,✔️
cox,Nanti,,,✔️
coz,Chocholtec,,,✔️
cpa,"Chinantec, Palantla",✔️,✔️,✔️
cpb,"Ashéninka, Ucayali-Yurúa",✔️,✔️,✔️
cpu,"Ashéninka, Pichis",✔️,✔️,✔️
cpx,"Chinese, Pu-Xian",,,✔️
cqd,"Miao, Chuanqiandian Cluster",,,✔️
cra,Chara,,,✔️
crc,Lonwolwol,,,✔️
crh,Crimean Tatar,✔️,✔️,✔️
crj,"Cree, Southern East",,,✔️
crk,"Cree, Plains","✔️ (script: latin, script: syllabics)","✔️ (script: latin, script: syllabics)",✔️
crn,"Cora, El Nayar",✔️,✔️,✔️
cro,Crow,,,✔️
crq,"Chorote, Iyo’wujwa",✔️,✔️,✔️
